Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1114,11,7674,697.6
1115,15,8319,554.6
1116,13,7962,612.5
1117,10,7558,755.8
1118,13,7579,583.0
1119,12,8010,667.5
1120,12,7703,641.9
1121,11,7828,711.6
1122,10,7314,731.4
1123,8,6810,851.2
1124,10,7262,726.2
1125,9,6741,749.0
1126,13,7945,611.2
1127,11,7719,701.7
1128,10,7697,769.7
1129,10,7706,770.6
1130,10,7772,777.2
1131,11,7872,715.6
1132,11,8010,728.2
1133,13,8128,625.2
1134,12,8071,672.6
1135,11,8048,731.6
1136,11,8055,732.3
1137,11,8054,732.2
1138,12,8084,673.7
1139,12,8122,676.8
1140,12,8143,678.6
1141,12,7812,651.0
1142,12,8167,680.6
1143,12,8156,679.7
1144,13,8223,632.5
1145,12,8163,680.2
1146,12,8151,679.2
1147,13,8159,627.6
1148,13,7970,613.1
1149,13,8173,628.7
1150,11,7694,699.5
1151,11,7633,693.9
1152,13,8194,630.3
1153,12,7844,653.7
1154,13,8163,627.9
1155,12,7983,665.2
1156,13,8158,627.5
1157,10,7857,785.7
1158,11,7827,711.5
1159,13,8104,623.4
1160,11,7840,712.7
1161,12,8080,673.3
1162,12,8028,669.0
1163,13,8124,624.9
1164,12,8100,675.0
1165,11,7861,714.6
1166,10,7829,782.9
1167,11,7832,712.0
1168,12,7918,659.8
1169,13,8110,623.8
1170,13,8109,623.8
1171,12,8015,667.9
1172,11,7966,724.2
1173,13,7984,614.2
1174,11,7411,673.7
1175,11,7787,707.9
1176,10,7563,756.3
1177,10,7596,759.6
1178,11,7975,725.0
1179,13,8097,622.8
1180,11,8082,734.7
1181,11,7984,725.8
1182,12,7770,647.5
1183,12,7756,646.3
1184,12,8694,724.5
1185,13,8906,685.1
1186,13,8219,632.2
1187,12,9247,770.6
1188,12,9258,771.5
1189,11,8112,737.5
1190,12,9253,771.1
1191,10,7920,792.0
1192,10,7873,787.3
1193,11,8044,731.3
1194,9,7706,856.2
1195,10,7458,745.8
1196,9,7203,800.3
1197,10,7441,744.1
1198,10,7446,744.6
1199,9,7212,801.3
1200,9,7824,869.3
1201,9,7820,868.9
1202,9,7823,869.2
1203,10,8005,800.5
1204,10,8003,800.3
1205,10,7994,799.4
1206,9,7816,868.4
1207,9,7664,851.6
1208,10,7835,783.5
1209,10,7955,795.5
1210,10,7954,795.4
1211,8,7720,965.0
1212,9,7816,868.4
1213,8,7761,970.1
1214,8,7750,968.8
1215,9,7892,876.9
1216,9,7905,878.3
1217,9,7867,874.1
1218,8,7711,963.9
1219,10,7962,796.2
1220,11,8135,739.5
1221,11,8137,739.7
1222,11,8132,739.3
1223,11,8136,739.6
1224,10,8097,809.7
1225,8,7378,922.2
1226,8,7813,976.6
